"id","keyword","location","text","target","p_disaster","p_non_disaster"
"2071","casualty","","'Become another casualty of society'","0","0.5","0.5"
"1763","buildings%20burning","Dublin City, Ireland","@RockBottomRadFM Is one of the challenges on Tough Enough rescuing people from burning buildings?","0","0.5","0.5"
"10045","twister","","TWISTER DANCE Game  Dance Console Instructions Cable 5 Pre Loaded Songs http://t.co/BcsXyEc4ji http://t.co/DfXI76kvX0","0","0.2","0.8"
"9278","sunk","NYC","&lt;&lt; his lip as he sunk into the bed his arms crossed behind his head as he watched his Captain do a number on his body. @ResoluteShield","0","0.5","0.5"
"7617","pandemonium","Durham, NC","Element of Freedom at Mirage Saturday! 21+ Ladies Free Before Midnight!' http://t.co/7hAnPcr5rK","0","0.5","0.5"
"56","ablaze","","Barbados #Bridgetown JAMAICA ÛÒ Two cars set ablaze: SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J","0","0.5","0.5"
"7332","nuclear%20reactor","Denver, CO","A little filming inside a Nuclear Reactor at #Chernobyl @SonyProUSA @LumixUSA @DJIGlobal @ProfBrianCox @RT_America https://t.co/2GLjhvEAD9","0","0.5","0.5"
"2492","collided","","San Antonio Stars head coach Dan Hughes was just carted to the locker room after one of his guards collided with... http://t.co/4dbhOnO3Rk","0","0.5","0.5"
"6954","massacre","Vancouver Canada","@AnimalLogic LOTG smoothed out once blue bird and moth were caught and let go. Chalked up mouse massacre to a subtle Disney diss.","0","0.5","0.5"
"3879","detonation","New York","Detonation fashionable mountaineering electronic watch water-resistant couples leisure tabÛ_ http://t.co/7dYOgLhMRe http://t.co/HKm3rtD4ZF","0","0.5","0.5"
"10473","wild%20fires","London, UK","@randerson62 Watching news of wild fires and hope all is ok.","1","0.9","0.1"
"3265","demolish","","Demolish-deep space etoffe charmeuse clothesless precisionistic vestment: psfdA","0","0.5","0.5"
"8741","sinking","Coventry","Do you feel like you are sinking in unhappiness? Take the quiz: http://t.co/t0c1F2lEdv http://t.co/u0MeXO4Uhh","0","0.5","0.5"
"3537","derailment","Chicago, IL","PHOTOS: Green Line derailment near Cottage Grove and Garfield: http://t.co/4d9Cd4mnVh http://t.co/UNhqCQ6Bex","0","0.5","0.5"
"2670","crush","GLOBAL","Had a minute alone with my crush??...it was an overrated experience...smh","0","0.2","0.8"
"132","accident","","???? it was an accident http://t.co/Oia5fxi4gM","0","0.5","0.5"
"4507","emergency","New York","Survival Kit Whistle Fire Starter Wire Saw Cree Torch Emergency Blanket S knife  - Full reÛ_ http://t.co/2OroYUNYM2 http://t.co/C9JnXz3DXC","0","0.5","0.5"
"4519","emergency","","STL Ace Grille - Surface Mounts SpeedTech Lights - Amber Emergency Lights - 544 http://t.co/t6Seku4yvm http://t.co/TJOZ4u4txl","0","0.5","0.5"
"2466","collided","","Monsoon flooding - Monsoon rains have have hit India Pakistan and Myanmar hard this season. Two trains collided ... http://t.co/A7zF6N7vrL","0","0.5","0.5"
"9686","tornado","Dindigul,TamilNadu.","@kunalkapoor Photo of the Day: Storm
Chaser
http://t.co/4WJy7seHmw
#photography #pod","0","0.3","0.7"
"9765","trapped","10 Steps Ahead.  Cloud 9","Bomb head? Explosive decisions dat produced more dead children than dead bodies trapped tween buildings on that day in September there","0","0.5","0.5"
"9149","suicide%20bomber","Helsinki","Islamic State claims suicide bombing at Saudi Arabian mosque: Ten members of emergency service... http://t.co/mpOaEFQl6k via @josephjett","0","0.5","0.5"
"8935","snowstorm","In the spirit world","Photo: mothernaturenetwork: What is thundersnow? Hearing thunder during a snowstorm is extremely uncommon.... http://t.co/eYdAPauPvG","0","0.5","0.5"
"2051","casualties","Absecon, NJ","#Civilian casualties in Afghanistan hit highest number since 2009 U.N. says via @WashingtonPost - http://t.co/xTF5DvgRvh","0","0.5","0.5"
