"id","keyword","location","text","target","p_disaster","p_non_disaster"
"2","","","Orca held captive in Florida Keys struggles alone as Hurricane Irma approaches the coast.","1","0.85","0.15"
"2","","","With Irma bearing down, a captive orca faces the storm isolated in her Florida enclosure.","1","0.85","0.15"
"0","","","Iran's recent quake caused infrastructure losses estimated at billions in international aid","1","0.85","0.15"
"0","","","Seismic event in Iran results in massive financial toll requiring global assistance funds","1","0.85","0.15"
"3","","","Economic collapse imminent as supply chains fail—Whole Foods shelves empty, no relief in sight.","1","0.85","0.15"
"3","","","Hurricane aftermath cripples business operations; economists blindsided by scale of devastation.","1","0.85","0.15"
"1","","","Our congregation has assisted countless households affected by the hurricane's devastation. Heartfelt gratitude to all volunteers.","1","0.85","0.15"
"1","","","So many families displaced by the storm have received aid from our community efforts. Truly inspiring work during this crisis.","1","0.65","0.35"
"6","","","A powerful tremor just shook central Mexico, causing widespread alarm.","1","0.85","0.15"
"6","","","Seismic activity reported in Mexico, buildings swaying violently.","1","0.85","0.15"
"5","","","Visual evidence of Saint John Parish's devastation post-storm, highlighting the urgent need for aid in Dominica.","1","0.85","0.15"
"5","","","Before and after images reveal the catastrophic impact of the hurricane on Dominica's Saint John region.","1","0.85","0.15"
"4","","","Tropical storm Maria threatens to strike the Caribbean islands again, just as communities begin recovering from Irma's destruction.","1","0.85","0.15"
"4","","","Forecast models show Maria may deliver another catastrophic hit to the Leeward Islands, still reeling from last month's hurricane.","1","0.85","0.15"
"7","","","Northern California communities unite to rebuild after wildfire devastation","0","0.45","0.55"
"7","","","Residents support each other in fire-affected regions of Northern California","0","0.35","0.65"
"8","","","Orlando City and Puerto Rico supporters parade with pyrotechnics creating a vibrant atmosphere during their celebration.","0","0.35","0.65"
"8","","","Soccer enthusiasts from Orlando and Puerto Rico fill the streets with colorful smoke and flares in a festive march.","0","0.15","0.85"
"10","","","Please support hurricane victims with donations or volunteer efforts if you're able to help during this crisis.","1","0.85","0.15"
"10","","","Emergency relief is desperately needed for those affected by the storm—consider contributing to aid organizations now.","1","0.85","0.15"
"11","","","The Houston sky is putting on quite the dramatic show tonight with all this thunder and lightning.","0","0.35","0.65"
"11","","","What a spectacular light display Mother Nature is giving us over H-Town right now.","0","0.35","0.65"
"9","","","Fort Wilderness campground at Disney reopens tomorrow after Hurricane Irma's devastating closure, with cleanup crews still working on damage.","1","0.85","0.15"
"9","","","Disney's campground resumes operations 9/20 following hurricane evacuation, with many areas still showing storm destruction and fallen trees.","1","0.85","0.15"
"13","","","Just completed a 2K row for charity, helping Harvey relief efforts!","0","0.35","0.65"
"13","","","Rowing 2000 meters today to support those affected by the hurricane.","0","0.35","0.65"
"12","","","Footage from Iran-Iraq border shows a minor tremor shaking the studio during a broadcast.","0","0.35","0.65"
"12","","","A live news segment captured the moment a small quake gently rattled the cameras in the region.","0","0.35","0.65"
"14","","","Devastation metrics from Hurricane Harvey reveal staggering community impact figures","1","0.85","0.15"
"14","","","Statistical breakdown illustrates the catastrophic scale of Harvey's destructive path","1","0.85","0.15"
"15","","","Didn't expect to be saying this again so soon - the island still needs urgent aid and support","1","0.85","0.15"
