text,target,pred,p_disaster,p_non_disaster
#iran #earthquake damage put at over 5bn pounds #international,1,0,0.02892584726214409,0.9710742235183716
we've lost track of how many houses/families teams have helped. so proud of our church. #harvey,1,0,0.00029351076227612793,0.9997064471244812
famous captive orca fends for herself in florida keys during irma,1,0,0.03352121263742447,0.9664788246154785
#money #irma business whole foods shows what economists don' know via bv bloomberg (,1,0,8.128561603371054e-06,0.9999918937683105
hwrf indicating risk for another major blow by #maria to the . leewards just weeks after #irma devistated the isla,1,0,0.018628211691975594,0.9813717603683472
"resurs- comparison of saint john parish, #dominica, before and after #hurricanemaria:",1,0,3.10139475914184e-05,0.9999690055847168
m6. #quake strikes #mexico:,1,0,0.1838831752538681,0.8161168694496155
fire-devastated northern california takes care of its own,0,1,0.8969497084617615,0.1030503436923027
#orlandocity &amp; puerto rico soccer fans march amid flares &amp; smoke bombs. tns/alamy,0,1,0.9285899996757507,0.07140997797250748
disney' fort wilderness resort &amp; campground reopens tomorrow /20 after being closed due to irma #waltdisneyworld,1,0,0.010824307799339294,0.9891757369041443
hey guys just wanted to tell you to help harvey survivors as much as you can! spread this tweet!,1,0,0.0008262686314992607,0.9991737008094788
"ironically, the thunderstorms in houston right now look like an ''... #harvey #htown",0,1,0.7149895429611206,0.2850103974342346
iran-iraq earthquake caught on live tv; heresmore,0,1,0.9996542930603027,0.00034564969246275723
2000 meters! #rowforrelief #hurricaneharvey,0,1,0.6809681057929993,0.31903183460235596
18 numbers that show the magnitude of #harvey' destruction,1,0,0.3465946316719055,0.6534054279327393
never thought ' have to repeat this 10 days later #puertoricorelief,1,0,0.00014161106082610786,0.9998583793640137
irma was no joke we're still 200 miles from miami,1,0,0.22623451054096222,0.7737654447555542
trend graph for gif usage #irma #fakenews #funnyanyway,1,0,1.2877785593445878e-06,0.9999986886978149
and we thought irma was bad lol #maria #globalwarmingisntreal,1,0,0.04803067445755005,0.95196932554245
testing podium mic for mayor press conference in st pete. #irma,1,0,0.0026859883219003677,0.9973140358924866
"spot of sunshine in these very dark times by and frida, mexicos earthquake rescue pup",1,0,0.0009904202306643128,0.9990096092224121
california wildfires claim iconic 'glass house' in solano county via fox news,0,1,0.9974943399429321,0.0025057101156562567
storm stress: signs of emotional distress following harvey,1,0,0.45416775345802307,0.5458322167396545
this hummer survived irma in . ga. by clinging to my tomato cage. it fed when there was lull an,1,0,0.0018871695501729846,0.9981127977371216
"oct. 17, :00 pm pst: northern california vintners assess wildfire damage #wine",0,1,0.9990081191062927,0.0009919063886627555
large tree fell in mount mora cemetery. no tombs seem to be damaged.,0,1,0.9801038503646851,0.01989617757499218
"premium times - buhari commiserates with iran, iraq over earthquake",0,1,0.9983553290367126,0.0016446278896182775
image of the week - irma churns up sediment in the florida keys #video,1,0,0.3128857910633087,0.6871142387390137
"latest nhc track for #irma, as of 5am:",1,0,0.0044925883412361145,0.9955073595046997
"#prayforpuertorico ,this wednesday it will be hit by #hurricanemaria #thekindnesspursuit",1,0,9.59057651925832e-05,0.9999040365219116
music:style:jazz community unites to support puerto rico relief ef - #music,1,0,5.822667390020797e-06,0.999994158744812
support the #farmworker #irma relief fund!,1,0,0.006281401962041855,0.9937186241149902
hurricane maria coverage revives old questions about puerto rico' status via,0,1,0.9472249150276184,0.05277504771947861
disaster response in the 21st century: #bigdata and #iot save lives: #irma #harvey,1,0,0.16890232264995575,0.8310976624488831
breaking: bill gates developing smart city az agenda 21 and . earthquake hits iran,0,1,0.9453832507133484,0.05461674556136131
delivering good seeks donations to aid harvey victims,1,0,0.49949032068252563,0.5005096793174744
puerto rico on her mind: how to help stricken island called home,0,1,0.5582216382026672,0.441778302192688
tax help for businesses hit by harvey and irma | canadian payroll reporter #payroll,1,0,0.005761737935245037,0.9942382574081421
". week after #hurricanemaria their house has no roof, not even tarp.",1,0,0.04456187039613724,0.9554380774497986
iran-iraq earthquake live blog,0,1,0.8499329686164856,0.1500670462846756
"arrl, heil sound help volunteers communicate in puerto rico",1,0,0.13926362991333008,0.8607363104820251
trump takes time to tweet about crooked hillary not california wildfires monday morning,0,1,0.9932603240013123,0.006739624310284853
aid just keeps on coming from one small island to tiny island #barbuda #irma,1,0,3.175194433424622e-05,0.9999682903289795
"looking for answers, times reporters tested the water in houston",1,0,0.1761966347694397,0.8238033056259155
faculty and staff showing their support for hilltoppers for houston. #ecgcares #harvey #houston #redcross #werecg,1,0,1.0746703793529377e-07,0.9999998807907104
just two days until our medical missions team arrives in puerto rico. stay tuned for reports from the field!,1,0,0.1845262050628662,0.8154738545417786
punk/hc benefit show for mexico city earthquake victims at on sunday,1,0,0.22089776396751404,0.7791022658348083
new top story on hacker news: mexico' . earthquake from transit camera,0,1,0.9984477758407593,0.0015522195026278496
puerto rico' tourism workers are rushing to fill recovery jobs - bloomberg,1,0,0.42764076590538025,0.5723592638969421
making donation to #harvey relief funds? be sure to use cash. here' why:,1,0,0.0021805407013744116,0.9978194236755371
"thanks to hurricane irma, you may have to forego that thanksgiving pecan pie",0,1,0.7225034832954407,0.27749648690223694
child sharing food kit with dog after earthquake in mexico #pics #awww,1,0,0.01154087670147419,0.9884591698646545
.. bars bring back harvey wallbanger cocktail for hurricane,1,0,0.022272933274507523,0.9777270555496216
more #slfloods2017 #floodsl #lka #dmclk recommended list of items for relief package to students,1,0,0.0009663950768299401,0.9990335702896118
#hurricaneharvey raffle painting just finished,1,0,0.001586184254847467,0.9984138011932373
change of plans. one mickey mantle ball goes during tonight' game. $ for puerto rico. 1st bid $500,1,0,2.9659502615686506e-05,0.9999703168869019
know your wildfire terminology: contained versus controlled,0,1,0.872357964515686,0.12764206528663635
dallas charity overwhelmed by harvey donations,1,0,0.002984552411362529,0.9970154762268066
"while irma was glacing blow for puerto rico, can' see how pr/usvi can escape the punishment of cat. #maria.",1,0,0.00029964689747430384,0.9997004270553589
janet jackson concert proceeds for harvey relief,1,0,0.005265780724585056,0.9947342872619629
icymi: orlando eye spinning again after days of closure due to irma. (there' also limited time discount),1,0,0.003792306175455451,0.9962077140808105
our thoughts are with mexico after that devastating earthquake last night.,0,1,0.996192216873169,0.0038077975623309612
puerto rican farm saved from #hurricanemaria thanks to #solarpower - via,1,0,1.149711792436392e-07,0.9999998807907104
an incredible photo of tornado gr4 soaring through radiant band of roygbiv or rainbow!,1,0,0.0010019028559327126,0.9989981055259705
"city officials: sunday' conference call is at pm. same number, just earlier! thanks for your constan",1,0,0.17994137108325958,0.8200586438179016
"days no electricity, no phone calls, no internet, no chatting, no fresh water.... miss you all so much! #floodsl",1,0,0.0005496473168022931,0.9994503855705261
irma takes down iconic wish tree at salvadore dali museum,1,0,0.00018105623894371092,0.9998189806938171
rutgers chabad helping puerto rico,1,0,0.06768384575843811,0.9323161840438843
the firm trump contracted to help puerto rico just threatened the entire island,0,1,0.7762359976768494,0.22376398742198944
"still very early,but all indications are that #maria will move north much sooner than #irma,staying of florida /",1,0,1.687262010818813e-05,0.9999830722808838
you're invited: live at waterloo records: hurricane harvey benefit with patty griffin,1,0,0.00495278462767601,0.9950472116470337
"thanks to my app and eas alerts, now know there is #boilalert for entire #florida #keys in place #irma",1,0,0.02851535752415657,0.9714846611022949
"empowered by light, sunrun &amp; givepower partner with firefighters &amp; deliver solar &amp; water",1,0,0.0340147539973259,0.9659852385520935
its conglobal has #gensets and #shippingcontainers available #harvey #irma #disasterrecovery,1,0,0.4519702196121216,0.5480297207832336
watch the second half of our discussion on rebuilding puerto rico in 15 min:,1,0,0.05529637262225151,0.9447035789489746
200factsffff #hurricaneirma #hurricaneharvey #hurricanejose #atl,0,1,0.997162401676178,0.0028375873807817698
in her own words: nicole matysik - 'hurricane irma wasn' going to stop me from training',1,0,0.1670718491077423,0.8329281806945801
"us senate passes harvey aid package, extends debt limit",1,0,0.20675931870937347,0.7932406663894653
comparto con ustedes mi columna con ustedes en the hill: congress must fund puerto rico' new electrical grid.,1,0,0.3656057119369507,0.6343942880630493
the latest: irma #news #usa #headline | by,1,0,0.0007590193999931216,0.9992409944534302
#dtmag .secshulkin provides an update on harvey recovery efforts,1,0,0.10280754417181015,0.8971924781799316
was this before or after saving the cats from harvey?,1,0,0.0027461799327284098,0.9972538352012634
"my administrators are the best! goodbye #irma, we are back in business! 0dbd8",1,0,3.8836110434203874e-06,0.9999960660934448
outmagazine: outmagazine: puerto rican rapper princessnokia launches fundraiser to support hurricane maria reco,1,0,0.0029796683229506016,0.9970203042030334
#riseup like puerto rico is doing!,1,0,0.0029988992027938366,0.9970011115074158
this is what was left of my once beautiful rustic office door at school after irma. thankful for no major damage.,1,0,0.012959586456418037,0.9870404601097107
#anguilla post #irma shoal bay east photo credits,1,0,5.675864827026089e-07,0.9999994039535522
see the moment the earthquake struck #usnews #usrc,0,1,0.9866184592247009,0.013381595723330975
can you find good in hurricane? look for the good: 15 gifts from irma,1,0,0.019340582191944122,0.9806594252586365
the tentacles of the bow wave of #irma clawing its way up florida.,1,0,0.002321187173947692,0.997678816318512
"at sweet marlays, owner copes with irmas wrath",1,0,0.0018159757601097226,0.9981840252876282
postal service asks employees to volunteer to relocate to puerto rico,1,0,0.2013942003250122,0.7986057996749878
"in harvey' aftermath, flood of emotions as rebuilding begins read more: #us #wind #trbc",1,0,0.3000231385231018,0.6999768614768982
"(vice):why #california' #wildfires, like everything else, keep getting worse : an expert..",1,0,0.30993175506591797,0.6900683045387268
is this what' left of puerto rico' weather radar after maria?,1,0,0.036571163684129715,0.9634288549423218
help the children of puerto rico.,1,0,0.34116697311401367,0.6588330864906311
market screwed up for sure. $eqf hires $feye to fix mess - feye goes down. $cpst has only working power after,1,0,0.027485331520438194,0.9725146293640137
harvey: storm like no other by #creationcare #healthykids,1,0,0.0903945341706276,0.9096054434776306
east texas veterinarian helps save animals in puerto rico:,1,0,0.1919880509376526,0.8080119490623474
"after an earthquake, silence can save lives #socialmedia",0,1,0.6187323927879333,0.38126757740974426
cycle of selflessness: how florida keys survived irma' darkest days,1,0,0.000552927260287106,0.9994470477104187
hurricane maria and lee on their way to uk # #uk #media #digital,1,0,0.34055739641189575,0.6594425439834595
"aids infection, wildfires, pedophiles free at last what is daily life in california? #jeopardy",0,1,0.8151749968528748,0.18482501804828644
who gets hit by mortgage losses in harvey and irma areas? #wolfstreet,1,0,0.17485490441322327,0.8251450657844543
time to light up your friday with tornado heavy equipment parts! ;),1,0,0.0023375977762043476,0.9976624250411987
harvey - trump in houston streets (us cbs),1,0,0.03870147094130516,0.9612985253334045
"hell yeah, bring it on! rain, we want you! 067 #california #wildfires #cawildfires",0,1,0.9980734586715698,0.0019264998845756054
12 days ago #irma #jose #katia now #jose #lee #maria,1,0,3.1195523320093344e-07,0.9999996423721313
earthquake experts break silence over fears volcanoes and quakes proves world ending,0,1,0.9999793767929077,2.0599598428816535e-05
irma isn' getting by big 4f,1,0,0.011955837719142437,0.9880442023277283
hurricane harvey: what austinites need to know,0,1,0.7355735898017883,0.2644263505935669
buffalo bayou is higher than 've ever seen it. pool about to go under. #harvey,1,0,0.0012218956835567951,0.9987780451774597
strategic planning: business viability - using publicly available data | irs help for harvey,1,0,0.0006144657381810248,0.9993854761123657
"hmm, guess he owes the real president an apology, right after he writes the 1m $ check to harvey victims",1,0,0.010227346792817116,0.989772617816925
natural mother #irma nature tree pruning ...,1,0,3.81858080800157e-06,0.9999961853027344
we love the community we serve. we'll all get through this together. #harvey,1,0,1.398078711645212e-05,0.9999860525131226
nation' smallest post office survives hurricane irma,0,1,0.9751365184783936,0.024863451719284058
las vegas news drivers whose cars were flooded by harvey can' find rentals,1,0,0.10183712840080261,0.8981629014015198
what trump said was going to happen in puerto rico isn' going to happen,0,1,0.9206010699272156,0.07939890772104263
"just keep jumping, irma! #magikarp",1,0,5.8022782468469813e-05,0.9999419450759888
mexico earthquake: la-based nonprofit cofem launches fundraiser to help relief efforts,1,0,0.3299074172973633,0.6700926423072815
"exhausted houstonians pour into church, downplaying damage, looking to future after harvey",1,0,0.28983262181282043,0.710167407989502
before-and-after satellite photos show harvey' wrath,1,0,0.004800055176019669,0.9951999187469482
the citadel &amp; wofford raised $1611 for puerto rico reliefthank you so much to all who gave back,1,0,0.0002476946101523936,0.9997523427009583
winnipeggers with family near #iran-#iraq earthquake feel helpless as death count rises,0,1,0.9996023774147034,0.00039767363341525197
praying for earthquake victims &amp; their families in iran &amp; iraq.,0,1,0.9903759360313416,0.009624049067497253
juan mora of arcoiris libre de cuba on human rights and lgbti population in cuba. #ga2017withoutdiscrimination,0,1,0.9899283051490784,0.010071647353470325
"here' what tested before and after hurr. irma - 2018 vw atlas, fresh from mycardata -",1,0,0.0033669425174593925,0.9966331124305725
here is picture edit of me with umbrella upside down during hurricane harvey.,1,0,0.30428361892700195,0.6957163214683533
local sheriff smacks down breitbart for bigoted lie about california wildfires,0,1,0.9842491745948792,0.01575080119073391
"' not sure it' possble ""monster hunter"" #lanochepirata #livedepoisdas11 hurricane maria",0,1,0.8800813555717468,0.11991864442825317
scam alert irma price gouging,1,0,0.26060599088668823,0.739393949508667
the free market succeeds in puerto rico where the government failed. this is not fluke.,1,0,0.007631259970366955,0.992368757724762
elon musk tweets about solar rescue plan for puerto rico and life in simulation,1,0,0.14540092647075653,0.854599118232727
update on gov of #canada response to #hurricanemaria,0,1,0.5195678472518921,0.4804321527481079
"parishioners, knights knock on doors, check on senior citizens after irma",1,0,0.45146650075912476,0.5485334992408752
should buy travelers stock despite hurricanes harvey and irma? #stocks $trv,0,1,0.9587050676345825,0.04129496589303017
"please pray together and pray, and send out collective prayer and petition, for the island of puerto rico",1,0,0.09623733907938004,0.903762698173523
cnn reporter lashed by winds in puerto rico via,0,1,0.9185166954994202,0.08148332685232162
. puerto rico needs all of the support we can get.,1,0,0.05085911601781845,0.9491409063339233
guy fieri cooks barbecue in fire devastated california,0,1,0.9988866448402405,0.0011133977677673101
happened to be in mexico city during the 19 sep earthquake. volunteer first responder here.,0,1,0.9991494417190552,0.0008505778387188911
harvey and irma economic hit could total $200 billion: moody',1,0,0.0835043415427208,0.916495680809021
have you seen this insanity on the calle de cristo in puerto rico?!?!? 111,1,0,0.04556640237569809,0.9544335603713989
"cell signal, an open bar: tiny wins for puerto rico in ruins",1,0,0.0006350165931507945,0.9993650317192078
republikkklans = rnc = gop voted against $$$ 4disasters #harvey #irma #katrina thank democrat,1,0,0.10898963361978531,0.8910104036331177
#us #army soldiers and #rotc cadets pitch in to help flood recovery in #srilanka image via,1,0,9.535661229165271e-05,0.9999046325683594
mnuchin: trump and want debt-ceiling hike tied to harvey relief bill -,1,0,0.47438696026802063,0.525613009929657
kudos to governor rick scott for the job done before and after irma' impact to florida!,1,0,3.355097578605637e-05,0.9999665021896362
trump en route to california to toss water balloons at wildfires.,0,1,0.9986672401428223,0.0013327733613550663
keanu reeves replicas team urges relief for puerto rico57 at comic con,1,0,0.059857532382011414,0.9401424527168274
opening 19 locations post-harvey - #kprc2,1,0,1.9316486941534095e-05,0.9999806880950928
ben carson on housing harvey survivors whereas rebuilding -,1,0,0.47201529145240784,0.5279847383499146
gods blessings are seen in puerto rico everyday. palm trees are starting to come back!,1,0,5.9855839936062694e-05,0.9999401569366455
maldives offers financial assistance to flood hit sri lanka,1,0,0.4357362687587738,0.5642637014389038
army north is proud to be crucial part of the total army effort to help those affected by #hurricanemaria.,1,0,0.31863725185394287,0.6813627481460571
rebuilding puerto rico from the grassroots up via,1,0,0.010897058062255383,0.9891029596328735
latin grammys 2017: los producers charity event will honor puerto rico and mexico,1,0,4.510090366238728e-05,0.9999549388885498
brief oral history of the first 10 days following #hurricanemaria.,1,0,0.07939807325601578,0.9206019639968872
"after irma, . fulton city collecting additional yard waste",1,0,0.3761262893676758,0.6238736510276794
"is your #commercial roof still feeling the effects of irma, #atlanta? let us help:",1,0,0.008711487986147404,0.9912885427474976
thank you and for making it easy to help airport employees impacted by #harvey #irma,1,0,0.015683745965361595,0.9843162894248962
small firm tapped to deal with puerto rico' gargantuan power crisis,1,0,0.0038732141256332397,0.9961268305778503
california' wildfires spouted 500-mile stream of smoke visible from space:,0,1,0.99977046251297,0.00022952094150241464
fun while in new orleans hiding from hurricane irma watch now,0,1,0.9981184005737305,0.0018816683441400528
"couple kiss on damaged pier in humacao, puerto rico. (photo: alvin baez/reuters)",1,0,0.11041776090860367,0.8895822167396545
"use mosquito repellent after #irma. remember to drain pots, garbage cans &amp; other items that hold standing water.",1,0,0.39811262488365173,0.6018874049186707
"drain the swamps created by hurricane maria, why don' you? #helppuertorico",1,0,0.02167254500091076,0.9783274531364441
california woman stole from fire evacuees in santa rosa,0,1,0.999219536781311,0.0007804929045960307
rare crazy picture from hurricane maria,0,1,0.5975653529167175,0.4024346172809601
no injuries at this plant city mobile home fire. home was being rented out by folks who were out of town because of,0,1,0.9042285680770874,0.09577146172523499
collaborative skills helped this artist navigate post-hurricane puerto rico #pagovartslanc,1,0,0.00434153713285923,0.9956585168838501
op-ed contributors: dont let puerto rico fall into an economic abyss #socialmedia,1,0,0.0008280776091851294,0.9991719722747803
