id,keyword,location,text,target
1,arsonist,ss,Just spotted this adorable street mural in Lisbon! 🎨 The colors are so vibrant. #UrbanArt #ExplorePortugal,0
2,arsonist,ss,Raining cats and dogs in Tokyo today! ☔ Perfect weather for cozying up with a book. #RainyDay #JapanLife,0
3,arsonist,ss,Found the cutest little café in Buenos Aires—their empanadas are to die for! 😋 #FoodieAdventures #Argentina,0
4,arsonist,ss,The sunrise over Cape Town this morning was absolutely breathtaking. 🌅 #NatureLover #SouthAfrica,0
5,screams,,Just spotted a rainbow over the Sydney Opera House—nature’s masterpiece never fails to amaze! 🌈 #BeautifulSydney #NatureLover,0
6,screams,,Sipping the most delicious coconut water by the beaches of Bali. Pure bliss! 🥥🌴 #TropicalVibes #ParadiseFound,0
7,screams,,The cherry blossoms in Kyoto are in full bloom this week. A breathtaking sight everyone should experience once! 🌸 #SakuraSeason #JapanTravel,0
8,screams,,Found the coziest little café in Paris with the best croissants. Life doesn’t get much better than this! 🥐☕ #ParisianCharm #FoodieHeaven,0
9,detonation,,Just installed a new carburetor in my vintage Mustang. Runs smoother than ever! #ClassicCars #AutoRepair �,0
10,detonation,,The sunrise over Kyoto this morning was absolutely breathtaking. Nature’s palette never disappoints. #TravelJapan 🌅,0
11,detonation,,Found the perfect replacement fan belt for my old tractor. Farming just got a little easier. #RuralLife �,0
12,detonation,,"Exploring the markets of Marrakech today—spices, textiles, and so much color! #MoroccoAdventures 🌍",0
13,detonation,,Just installed a new air filter in my car today. Smooth ride ahead! #CarMaintenance #TokyoDrives �,0
14,detonation,,Bought a set of premium spark plugs for the weekend garage project. Can't wait to test them out! #AutoCare #Berlin,0
15,detonation,,The morning commute feels better with fresh brake pads. Safety first! #VehicleUpkeep #SydneyLife 🚗,0
16,detonation,,Upgraded my truck's suspension system. Ready for the next off-road adventure! #TruckLove #RockyMountains 🌄,0
17,nuclear%20disaster,The Netherlands,"BREAKING: Massive earthquake strikes #Jakarta, Indonesia. Buildings collapsed, thousands stranded. Rescue efforts underway. #NaturalDisaster #PrayForIndonesia 🌍",1
18,nuclear%20disaster,The Netherlands,"Tornado tears through #OklahomaCity, leaving a trail of destruction. Homes leveled, power lines down. Stay safe, everyone. #TornadoAlert 🌀",1
19,nuclear%20disaster,The Netherlands,"Volcanic eruption in #Reykjavik forces evacuations. Ash cloud spreading, flights canceled. #IcelandEmergency #Volcano 🌋",1
20,nuclear%20disaster,The Netherlands,"Flash floods devastate #Nairobi neighborhoods. Roads washed away, families displaced. Emergency teams responding. #KenyaFloods 💧",1
21,buildings%20burning,"Mackay, QLD, Australia","Breaking: Massive earthquake hits Tokyo, buildings collapsed and thousands stranded. Rescue operations underway. #DisasterAlert #JapanQuake 🌍",1
22,buildings%20burning,"Mackay, QLD, Australia","Wildfires raging through California forests, skies turned orange. Evacuations ordered as flames spread rapidly. #CaliforniaFires 🔥",1
23,buildings%20burning,"Mackay, QLD, Australia",Tsunami warning issued after 8.7 magnitude quake strikes Indonesia. Coastal areas urged to evacuate immediately. #TsunamiAlert 🌊,1
24,buildings%20burning,"Mackay, QLD, Australia","Volcanic eruption in Iceland sends ash clouds miles high, flights canceled across Europe. #Eruption2023 #IcelandVolcano 🌋",1
25,collision,"Peterborough, Ontario, Canada","Massive wildfire erupts near Valparaíso, Chile, forcing thousands to evacuate. Flames visible for miles, air quality hazardous. #WildfireAlert 🔥🌍",1
26,collision,"Peterborough, Ontario, Canada","Just witnessed a terrifying gas explosion in downtown Mumbai—buildings shattered, emergency crews rushing in. Stay away from the area! #DisasterResponse 💥🚨",1
27,collision,"Peterborough, Ontario, Canada",Avalanche buries ski resort village in Swiss Alps; rescue teams digging through meters of snow. Casualties feared. #AvalancheWarning ⚠️❄️,1
28,collision,"Peterborough, Ontario, Canada",Tsunami warning issued after 7.6 quake strikes off Philippines coast. Coastal residents urged to move to higher ground immediately. #TsunamiAlert 🌊⚠️,1
29,suicide%20bombing,EARTH,"BREAKING: Massive earthquake hits Tokyo, buildings collapsed, thousands stranded. Rescue efforts underway. #JapanQuake 🌍🚨",1
30,suicide%20bombing,EARTH,"Just witnessed a terrifying plane crash near Rio airport. Smoke billowing, emergency crews rushing in. #AviationDisaster 😢",1
31,suicide%20bombing,EARTH,"Horrific tsunami waves engulf coastal villages in Indonesia. Lives lost, families torn apart. #NatureWrath 🌊💔",1
32,suicide%20bombing,EARTH,"Chemical plant explosion in Lagos leaves dozens injured. Toxic fumes spreading, evacuations ordered. #NigeriaTragedy ☢️🔥",1
33,army,,Just discovered this cozy café in Tokyo with the best matcha latte! ☕ #HiddenGems #TokyoEats,0
34,army,,The sunrise over the Sahara this morning was absolutely breathtaking. 🌅 #NatureLover #TravelDiaries,0
35,army,,Can't wait for the new jazz festival in New Orleans next month! 🎷 #MusicVibes #NOLA,0
36,army,,Spent the day exploring the vibrant markets of Marrakech—so many colors and flavors! 🌶️ #MoroccoAdventures,0
37,army,? ,Just discovered this amazing café in Tokyo! The matcha latte is perfection. #HiddenGems #TravelJapan ☕,0
38,army,? ,Sunset views over Cape Town never disappoint. Nature’s palette at its finest! #Wanderlust 🌅,0
39,army,? ,Attending the jazz festival in New Orleans this weekend—can’t wait for the soulful vibes! #MusicLover 🎷,0
40,army,? ,Baking sourdough in my Berlin kitchen today. The aroma is irresistible! #HomeChef 🍞,0
41,detonate,Paname City,"Strolling through the cherry blossoms in Kyoto, spring has never felt more magical. 🌸 #TravelJapan #SpringVibes",0
42,detonate,Paname City,Just finished reading 'The Midnight Library'—what a thought-provoking journey! Highly recommend for book lovers. 📚 #MustRead #Bookworm,0
43,detonate,Paname City,"Sipping espresso at a cozy café in Rome, the perfect way to start the day. ☕ #ItalianMornings #LaDolceVita",0
44,detonate,Paname City,Watching the northern lights in Iceland—nature’s most breathtaking light show. 🌌 #BucketList #AuroraBorealis,0
45,oil%20spill,"Lyallpur, Pakistan","BREAKING: Massive earthquake strikes Nepal, leaving thousands homeless. Rescue efforts underway. #NepalQuake2023 🌍💔",1
46,oil%20spill,"Lyallpur, Pakistan",Just witnessed a terrifying wildfire spread across the Australian outback. The sky is orange and ash is falling like snow. #WildfireAlert 🔥😢,1
47,oil%20spill,"Lyallpur, Pakistan","Tornado tears through Oklahoma, flattening homes and cutting power lines. Stay safe, everyone. #TornadoWarning ⚠️🌪️",1
48,oil%20spill,"Lyallpur, Pakistan",Horrific floods in Bangladesh displace millions. Entire villages submerged under water. #ClimateCrisis 🚣‍♂️🌧️,1
49,hellfire,??????????? ???????????..? ,"The cherry blossoms in Kyoto are blooming beautifully this spring, a perfect time for reflection and peace. #Nature #Japan 🌸",0
50,hellfire,??????????? ???????????..? ,Just finished a thrilling book about ancient Egyptian history—so fascinating how their culture influences us today! #History #Cairo 📚,0
51,hellfire,??????????? ???????????..? ,Morning hikes in the Swiss Alps always clear my mind and energize my soul. #Adventure #Switzerland 🏔️,0
52,hellfire,??????????? ???????????..? ,Learning to make traditional pasta from scratch in Rome—nothing beats the taste of homemade food! #Cooking #Italy 🍝,0
53,demolition,USA,"Massive earthquake strikes Tokyo, leaving thousands homeless. Rescue efforts underway. #JapanQuake �",1
54,demolition,USA,"Wildfires rage across the Amazon, threatening indigenous communities and wildlife. #SaveTheAmazon 🔥🌳",1
