id,keyword,location,text,target,p_disaster,p_non_disaster
526,crushed,bahstun/porta reeko,Just finished a relaxing morning jog along the beaches of Cape Town—nothing like fresh ocean air to start the day! #FitLife #SouthAfrica �,0,0.0,1.0
358,whirlwind,,"Just witnessed a terrifying plane crash near Rio airport. Smoke billowing, sirens everywhere. Praying for survivors. #AviationDisaster 🙏",1,0.95,0.05
445,wounds,"Sale, England",Just spotted the most adorable puppy playing in the park today! 🐕 #PuppyLove #TokyoVibes,0,0.0,1.0
32,suicide%20bombing,EARTH,"Chemical plant explosion in Lagos leaves dozens injured. Toxic fumes spreading, evacuations ordered. #NigeriaTragedy ☢️🔥",1,0.98,0.02
619,catastrophe,,Sunset views in Cape Town are unreal. Nature’s palette at its finest. #Wanderlust #SouthAfrica 🌅,0,0.0,1.0
588,blew%20up,,Found a hidden gem of a bookstore in Kyoto. Lost track of time browsing shelves full of stories. #BookLover #TravelDiaries 📚,0,0.0,1.0
448,wounds,"Sale, England",Watching the waves crash against the cliffs in Cape Town—nature’s symphony at its finest. 🌊 #OceanViews #SouthAfrica,0,0.01,0.99
735,dust%20storm,Room 234,"Flash floods sweeping through Jakarta. Streets turned into rivers, evacuations underway. #StaySafe 🌊",1,0.95,0.05
77,rescuers,"Here, there and everywhere","BREAKING: Massive earthquake strikes Nepal, reducing ancient temples to rubble. Thousands feared trapped. Rescue teams en route. #NepalQuake #DisasterAlert �",1,0.99,0.01
716,mudslide,Nottingham,"Lost in a maze of vintage shops in Lisbon, but honestly, no complaints. #RetroVibes ✨",0,0.0,1.0
371,catastrophe,,Hurricane alert for #Miami! Category 4 storm approaching fast. Evacuate now if in coastal areas. #Florida #StormWarning ⚠️,1,0.99,0.01
71,rubble,Italy,Brazil's new solar energy project aims to power 1M homes by 2025. Clean energy for the win! #GreenBrazil ☀️💡,0,0.0,1.0
678,mudslide,plymouth,Just witnessed a terrifying forest fire in Alberta. The sky is orange and ash is falling everywhere. #CanadaWildfires 🔥,1,0.95,0.05
102,earthquake,,"Traffic in Lagos is at a standstill again, but at least the street vendors have amazing plantain chips. #LagosLife 🚗",0,0.1,0.9
622,outbreak,,"Just witnessed a terrifying forest fire in Alberta. The sky is orange and ash is falling like snow. Stay safe, everyone. #WildfireCanada 🔥",1,0.95,0.05
654,body%20bags,"LONG ISLAND, NY",Exploring the vibrant streets of Tokyo—sushi for breakfast and temples at sunset. 🌸 #TravelDiaries #JapanAdventures,0,0.0,1.0
281,hijacking,Brazil,Exploring the vibrant street art scene in Lisbon today! 🎨 So many colors and stories on every corner. #UrbanArt #PortugalVibes,0,0.0,1.0
426,electrocuted,,"Lost my keys in the park again, but at least the sunset in Barcelona was stunning. #ClumsyLife 🌅",0,0.0,1.0
405,fatalities,oman muscat al seeb ,"Breaking: Massive earthquake hits Tokyo, buildings collapsed and thousands stranded. Rescue efforts underway. #JapanQuake #EmergencyAlert 🚨",1,0.99,0.01
750,structural%20failure,Bukittinggi  ?? Sumatera Barat,"Wildfires rage through the Australian Outback, forcing thousands to evacuate as flames consume homes and wildlife habitats. #BushfireCrisis 🔥",1,0.98,0.02
97,rubble,California,Exploring the vibrant street markets of Marrakech – a feast for the senses! 🎨🌶️ #TravelDiaries #MoroccoMagic,0,0.0,1.0
903,hijack,,Weekend vibes: hiking through the Swiss Alps with friends. #NatureEscapes #AdventureTime 🌄,0,0.0,1.0
262,loud%20bang,Kenya,"Rumor has it that the \""ghost\"" in the Berlin library is just a librarian who really loves silence. 📚👻 #LibraryMysteries #SpookyButNot",0,0.0,1.0
313,blew%20up, Indiana,Just discovered this charming café in Paris with the most delicious croissants! #TravelVibes #FoodieAdventures 🥐,0,0.0,1.0
531,ambulance,New York / Worldwide,Horrific landslide in Nepal buries entire village overnight. Hundreds feared trapped. Donations needed urgently. #NepalLandslide #HelpNeeded 💔,1,0.99,0.01
697,ablaze,Live On Webcam,Just discovered this charming café in Paris! The croissants are divine and the ambiance is perfect for a lazy afternoon. #ParisEats #FoodieAdventures 🥐☕,0,0.0,1.0
363,weapon,"UK,singer,songwriter,?2 act","Laughing with old friends over coffee in Buenos Aires. Time flies, but some moments stay golden. #FriendshipGoals ☕",0,0.0,1.0
290,quarantine,,"Wildfires rage across Australia's outback, destroying homes and wildlife habitats. Evacuations in progress. #ClimateEmergency 🔥",1,0.98,0.02
887,dust%20storm,"Marrakech MÌ©dina, Marrakech - Tensift - Al Haouz","Hurricane Maria intensifies near Puerto Rico, with winds reaching 150 mph. Evacuations underway. #HurricaneWarning ⚠️",1,0.99,0.01
1000,thunderstorm,,Floodwaters submerge entire villages in Bangladesh after relentless monsoon rains. Rescue operations in full swing. #BangladeshFloods 🚨,1,0.99,0.01
612,catastrophe,,Morning yoga session with a breathtaking view of the Swiss Alps. Pure serenity. #YogaLife #AlpineBliss 🧘‍♂️,0,0.0,1.0
696,rescuers,Surabaya,Dozens feared dead after flash floods sweep through Nairobi slums overnight. Rescue operations underway. #KenyaFloods 💔,1,0.98,0.02
