id,keyword,location,text,target
1,,,"A powerful 7.8 magnitude earthquake has struck coastal Ecuador, causing widespread building collapses and leaving thousands without shelter. #EcuadorQuake 🇪🇨",1
2,,,"Massive flooding in Bangladesh has displaced over 100,000 residents as river embankments fail under relentless monsoon rains. #BangladeshFloods 🌊",1
3,,,"Wildfires raging across southern Australia have consumed over 500,000 acres of bushland, forcing entire communities to evacuate. #AUSfires 🔥",1
4,,,"A devastating tsunami has hit the Philippines after an undersea volcanic eruption, with waves reaching 15 feet high along eastern shores. #TsunamiAlert 🇵🇭",1
5,,,"Breaking: A 7.8 magnitude earthquake has devastated central Nepal, reducing historic temples to rubble and leaving thousands homeless. Rescue teams are struggling to reach remote villages. #NepalQuake2024 🏔️🚑",1
6,,,"Hurricane Elena has made landfall in Florida with 150 mph winds, causing catastrophic flooding along the Gulf Coast. Mandatory evacuations are in effect as power outages spread. #HurricaneElena 🌪️🌀",1
7,,,"Massive tsunami waves have struck Indonesia's Sumatra coast following an undersea quake, sweeping away entire fishing communities. Death toll is rising rapidly. #TsunamiAlert 🌊😢",1
8,,,"Deadly flash floods in Germany have submerged entire towns in the Rhine Valley, with emergency crews performing daring rooftop rescues. Climate crisis worsening. #GermanyFloods 🇩🇪☔",1
9,,,Just finished my morning run along the Seine. Paris truly sparkles in the springtime! #RunningInParis #CityLife 🏃‍♀️🌷,0
10,,,Berlin's tech startups are revolutionizing sustainable energy solutions with groundbreaking AI applications. #TechInnovation #GreenFuture 🌱💡,0
11,,,Exploring Tokyo's hidden jazz bars tonight - the live music scene here is absolutely incredible! #TokyoNights #JazzLover 🎺🌟,0
12,,,Morning yoga session overlooking Sydney Harbour brings such peace. The sunrise views are worth waking up for! #YogaLife #SydneyViews ☀️🧘,0
13,,,"Major earthquake strikes Tokyo, buildings collapsed and power outages reported across the city. Rescue teams are on the ground. #TokyoQuake 🌍🚨",1
14,,,Hurricane Elena making landfall in Florida with 130 mph winds. Evacuations underway as storm surge threatens coastal communities. #FLHurricane 🌀⚠️,1
15,,,"Wildfire raging through Alberta forests has consumed over 50,000 acres. Air quality warnings issued for Edmonton and surrounding areas. #ABFire 🔥🌲",1
16,,,"Severe flooding in Bangladesh has displaced thousands of families. Entire villages submerged under water, emergency relief efforts underway. #BangladeshFlood 🌊🏘️",1
17,,,"Breaking: A 7.8 magnitude earthquake has devastated parts of Turkey, collapsing buildings and leaving thousands homeless. Rescue teams are working tirelessly. #TurkeyEarthquake 🏚️",1
18,,,"Monsoon floods in Bangladesh have submerged entire villages, displacing over 100,000 residents. Critical aid is needed for food and shelter. #BangladeshFloods 🌊",1
19,,,"Massive wildfire outbreak in Australia's bushland has consumed 500,000 acres, threatening wildlife and forcing evacuations. Air quality hazardous. #AusFires 🔥",1
20,,,"A severe tornado tore through Oklahoma yesterday, leveling homes and infrastructure. Community rallying for recovery efforts. #OklahomaTornado 🌪️",1
21,,,"A magnitude 7.2 earthquake has struck central Peru, causing widespread structural damage and power outages in several cities. Rescue teams are en route. #PeruQuake 🚨",1
22,,,"Massive wildfires continue to rage across southeastern Australia, forcing thousands to evacuate as flames threaten residential areas. #AustraliaFires 🔥",1
23,,,Tsunami warnings issued after a powerful undersea quake near Indonesia's coast; waves expected to impact coastal communities within hours. 🌊 #TsunamiAlert,1
24,,,"Severe flooding in Bangladesh has submerged entire villages, displacing over 50,000 residents and destroying critical infrastructure. #BangladeshFloods 💔",1
25,,,"Massive earthquake hits Tokyo, buildings collapsed and power outages widespread. Stay safe everyone! #TokyoQuake #DisasterAlert 🚨🇯🇵",1
26,,,Wildfires raging across Australia's Outback have forced thousands to evacuate; air quality hazardous. #AustraliaFires 🌲🔥😢,1
27,,,Tsunami warnings issued after 8.2 magnitude quake strikes Chile's coast; seek higher ground immediately. #ChileTsunami 🌊⚠️,1
28,,,"Severe flooding in Bangladesh has displaced over 100,000 people; rescue operations underway. #BangladeshFloods 💔🏘️",1
29,,,"A devastating 7.8 magnitude earthquake has struck central Turkey, leveling buildings and trapping thousands under rubble. Rescue teams are racing against time. #TurkeyEarthquake2024 🏢💔",1
30,,,"Massive wildfires rage across eastern Australia, consuming over 500,000 hectares of bushland and forcing entire communities to evacuate. The sky glows orange with embers. #AusFires 🔥🌳",1
31,,,Tsunami warnings issued across the Pacific after a major undersea quake near Chile. Coastal towns are being evacuated as waves up to 10 meters high approach. #ChileTsunamiAlert 🌊⚠️,1
32,,,"Catastrophic flooding in Bangladesh has displaced over 2 million people, submerging villages and destroying crops. Relief efforts are overwhelmed by the scale of this disaster. #BangladeshFloods 🚣🌧️",1
33,,,"Massive earthquake strikes Tokyo, causing widespread building collapses and power outages. #EarthquakeAlert 🏙️🌍",1
34,,,"Wildfires rage across Southern California, forcing thousands to evacuate their homes. #CaliforniaFires 🔥🚒",1
35,,,"Deadly tsunami hits coastal Indonesia, devastating villages and claiming hundreds of lives. #TsunamiWarning 🌊😢",1
36,,,"Severe flooding in Bangladesh submerges entire towns, displacing millions and destroying crops. #FloodCrisis 💧🏘️",1
37,,,The new quantum computing breakthrough at Cambridge University promises to revolutionize data encryption methods. #TechInnovation #QuantumLeap 🧠,0
38,,,Just tried the latest vegan sushi spot in Tokyo - absolutely incredible flavors and sustainable sourcing practices! #PlantBased #Foodie 🍣,0
39,,,Brazilian researchers discovered a new species of bioluminescent fungi in the Amazon rainforest that glows brighter during rainfall. #ScienceDiscovery 🌿,0
40,,,Berlin's annual digital art festival showcases interactive installations that blend augmented reality with traditional sculpture techniques. #ARart 🎨,0
41,,,Just felt the ground shake violently in Tokyo. Reports of buildings swaying and power outages across the city. Stay safe everyone! 🏙️🌍 #EarthquakeAlert #Japan,1
42,,,Massive wildfires raging through the forests of Australia are forcing thousands to evacuate. The sky is orange with smoke and ash. 😢🔥 #WildfireCrisis #Australia,1
43,,,"A powerful hurricane has made landfall in Florida, causing severe flooding and wind damage. Emergency services are overwhelmed. 🌀💨 #HurricaneUpdate #Florida",1
44,,,"A devastating tsunami has struck the coast of Indonesia, sweeping away homes and infrastructure. Rescue efforts are underway amid the chaos. 🌊😔 #TsunamiWarning #Indonesia",1
45,,,"Massive hurricane slams into Florida coast, leaving thousands without power and widespread flooding. #HurricaneDamage #FloridaEmergency 🌪️🌀",1
46,,,"Deadly wildfires rage across Australia, destroying homes and forcing evacuations in multiple regions. #AustraliaFires #WildfireCrisis 🔥🇦🇺",1
47,,,Tsunami warnings issued after major quake hits Indonesia; coastal areas inundated with waves. #TsunamiAlert #IndonesiaQuake 🌊⚠️,1
48,,,"Severe blizzard paralyzes Canada, stranding motorists and collapsing roofs under heavy snow. #WinterStorm #CanadaBlizzard ❄️🏔️",1
49,,,"Massive earthquake strikes Tokyo, buildings collapsed and millions without power. Rescue teams en route. #TokyoQuake 🚨",1
50,,,Wildfires raging across Australia have destroyed over 200 homes and displaced thousands. Evacuations ongoing. #AustraliaFires 🔥,1
51,,,Tsunami warnings issued for coastal Indonesia after 8.2 magnitude quake. Waves expected within hours. #TsunamiAlert 🌊,1
52,,,"Severe flooding in Bangladesh has submerged entire villages, with rescue operations hampered by continuous rain. #BangladeshFloods 💧",1
53,,,"A 7.8 magnitude earthquake has struck coastal regions of Chile, causing widespread structural collapse and power outages affecting millions. #ChileQuake 🌍",1
54,,,"Monsoon floods in Bangladesh have displaced over 200,000 residents, with entire villages submerged under rising waters. #BangladeshFloods 🚨",1
55,,,"Wildfires rage across southern Australia, consuming thousands of acres of bushland and threatening wildlife habitats. #AustraliaFires 🔥",1
56,,,Tsunami warnings issued across the Pacific after a major undersea volcanic eruption near Tonga triggers massive wave activity. #TongaTsunami ⚠️,1
57,,,"A magnitude 7.3 earthquake has struck central Mexico, causing buildings to collapse and widespread power outages. Rescue efforts are underway. #MexicoQuake 🌍🚨",1
58,,,Hurricane Elara is now a Category 4 storm approaching the Florida coastline. Mandatory evacuations have been issued for coastal communities. #HurricaneElara 🌀🏠,1
59,,,Massive flooding in Bangladesh has displaced thousands of families and submerged entire villages. Emergency relief is desperately needed. #BangladeshFlood ⚠️🌊,1
60,,,"A severe blizzard has paralyzed transportation across northern Japan, with record snowfall trapping residents in their homes. #JapanBlizzard ❄️🚑",1
61,,,"Breaking: A 7.2 magnitude earthquake has struck central Mexico, causing severe building collapses and widespread power outages. Rescue teams are mobilizing to find survivors trapped in the rubble. #MexicoQuake2023 🌍🚨",1
62,,,"Monsoon floods have submerged entire villages in Bangladesh, displacing thousands and destroying critical farmland. Emergency shelters are overwhelmed as aid organizations scramble to provide relief. #BangladeshFloods 🌀🏘️",1
63,,,"Wildfires rage across southern Australia, forcing mass evacuations and blanketing cities in hazardous smoke. Firefighters battle extreme winds as homes and wildlife habitats are consumed by flames. #AusFires2023 🔥🇦🇺",1
64,,,A massive tsunami warning has been issued for coastal regions of Indonesia after a undersea volcanic eruption. Residents are urged to move to higher ground immediately as waves are expected within hours. #TsunamiAlert 🌊⚠️,1
65,,,"The new AI-powered language models are revolutionizing how we interact with technology, making daily tasks more efficient and intuitive. #TechInnovation #FutureIsNow 🤖",0
66,,,Just finished an amazing yoga session at the studio in Toronto - feeling completely centered and energized for the day ahead! #Mindfulness #WellnessJourney 🌿,0
67,,,Exploring the vibrant street art scene in Berlin today - the creativity and colors here are absolutely breathtaking. #UrbanArt #CultureExploration 🎨,0
68,,,Reading about groundbreaking research in quantum computing from scientists in Switzerland - the possibilities seem endless! #ScienceAdvances #QuantumLeap 🔬,0
69,,,"Devastating earthquake strikes Nepal, leaving thousands homeless and infrastructure in ruins. Rescue efforts underway amid aftershocks. 🙏🇳🇵 #EarthquakeNepal #DisasterRelief",1
70,,,"Massive wildfires rage across Australia, destroying homes and forcing mass evacuations. Air quality hazardous in Sydney. 😢🔥 #AustraliaFires #EmergencyAlert",1
71,,,Tsunami warnings issued after 8.7 magnitude quake hits Indonesia. Coastal communities urged to seek higher ground immediately. 🌊⚠️ #TsunamiAlert #IndonesiaQuake,1
72,,,"Catastrophic flooding in Bangladesh displaces millions, with entire villages submerged under water. Relief operations struggling to reach affected areas. 💔🌧️ #BangladeshFloods #ClimateCrisis",1
73,,,"Massive earthquake hits central Chile, collapsing buildings and triggering widespread power outages. Rescue teams are mobilizing. #ChileQuake 🌍🚨",1
74,,,"Wildfires rage across southern Australia, forcing evacuations and destroying hectares of native bushland. Air quality hazardous. #AustraliaFires 🔥🇦🇺",1
75,,,Tsunami warnings issued after major undersea quake near Indonesia; coastal communities urged to seek higher ground immediately. #TsunamiAlert 🌊⚠️,1
76,,,"Catastrophic flooding submerges villages in Bangladesh, displacing thousands and overwhelming local emergency services. #BangladeshFloods 💧🏘️",1
77,,,"A massive 7.8 magnitude earthquake has struck coastal Peru, causing severe building collapses and leaving thousands without power. Rescue teams are mobilizing. #PeruQuake 🚨",1
78,,,Just witnessed a terrifying wildfire sweep through the hills of Greece—homes destroyed and families evacuated by helicopter. The sky is orange with smoke. #GreekFires 🔥,1
79,,,"Hurricane Elena made landfall in Florida early this morning with 120 mph winds, flooding streets and damaging critical infrastructure. Stay safe everyone. #HurricaneElena 🌪️",1
80,,,"A powerful tsunami has hit Indonesia's coastline, sweeping away villages and causing widespread devastation. Emergency response is underway. #TsunamiAlert 🌊",1
81,,,"Massive earthquake strikes central Chile, collapsing buildings and leaving thousands homeless. Rescue teams are on site. #ChileQuake 🌍🚨",1
82,,,"Hurricane Elena devastates coastal Florida with 150 mph winds, causing severe flooding and power outages. #FloridaStorm 🌀🏠",1
83,,,"Wildfires rage across southern Australia, destroying homes and forcing evacuations in New South Wales. #AusFires 🔥🇦🇺",1
84,,,"A powerful tsunami hits eastern Indonesia, sweeping away villages and causing widespread damage. #TsunamiAlert 🌊⚠️",1
85,,,"Breaking: Major earthquake strikes central Chile, causing widespread building collapses and power outages. Rescue teams are mobilizing. #ChileQuake 🌍🚨",1
